Player0: NOK-AV
Player1: NOK-AV
--- units: 50
Units on each side: 150
Win average: 0.6678200692041523
Win average: 0.6689655172413793
Win average: 0.6701030927835051
Win average: 0.6712328767123288
Win average: 0.6723549488054608
Win average: 0.6700680272108843
Win average: 0.6711864406779661
Win average: 0.6722972972972973
Win average: 0.67003367003367
Win average: 0.6711409395973155
Win average: 0.6722408026755853
Win average: 0.6733333333333333
--------------- Score average: 41.946666666666665	Deviation: 93.04187492139701
--------------- Win average: 0.6733333333333333
AI GAME TEST RESULT: 0.67333335
--- units: 4
Units on each side: 12
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.2
Win average: 0.16666666666666666
Win average: 0.14285714285714285
Win average: 0.25
Win average: 0.3333333333333333
Win average: 0.4
Win average: 0.36363636363636365
Win average: 0.4166666666666667
Win average: 0.38461538461538464
Win average: 0.42857142857142855
Win average: 0.4
Win average: 0.4375
Win average: 0.47058823529411764
Win average: 0.4444444444444444
Win average: 0.42105263157894735
Win average: 0.4
Win average: 0.42857142857142855
Win average: 0.4090909090909091
Win average: 0.391304347826087
Win average: 0.4166666666666667
Win average: 0.4
Win average: 0.4230769230769231
Win average: 0.4074074074074074
Win average: 0.39285714285714285
Win average: 0.3793103448275862
Win average: 0.4
Win average: 0.41935483870967744
Win average: 0.4375
Win average: 0.45454545454545453
Win average: 0.47058823529411764
Win average: 0.45714285714285713
Win average: 0.4444444444444444
Win average: 0.4594594594594595
Win average: 0.47368421052631576
Win average: 0.46153846153846156
Win average: 0.475
Win average: 0.4634146341463415
Win average: 0.47619047619047616
Win average: 0.46511627906976744
Win average: 0.4772727272727273
Win average: 0.4666666666666667
Win average: 0.45652173913043476
Win average: 0.44680851063829785
Win average: 0.4583333333333333
Win average: 0.46938775510204084
Win average: 0.48
Win average: 0.47058823529411764
Win average: 0.4807692307692308
Win average: 0.4716981132075472
Win average: 0.48148148148148145
Win average: 0.4727272727272727
Win average: 0.4642857142857143
Win average: 0.45614035087719296
Win average: 0.4482758620689655
Win average: 0.4576271186440678
Win average: 0.45
Win average: 0.4426229508196721
Win average: 0.45161290322580644
Win average: 0.4444444444444444
Win average: 0.453125
Win average: 0.46153846153846156
Win average: 0.4696969696969697
Win average: 0.47761194029850745
Win average: 0.47058823529411764
Win average: 0.4782608695652174
Win average: 0.4714285714285714
Win average: 0.4647887323943662
Win average: 0.4722222222222222
Win average: 0.4657534246575342
Win average: 0.4594594594594595
Win average: 0.4533333333333333
Win average: 0.4605263157894737
Win average: 0.4675324675324675
Win average: 0.47435897435897434
Win average: 0.4810126582278481
Win average: 0.475
Win average: 0.48148148148148145
Win average: 0.47560975609756095
Win average: 0.4819277108433735
Win average: 0.47619047619047616
Win average: 0.4823529411764706
Win average: 0.47674418604651164
Win average: 0.47126436781609193
Win average: 0.4772727272727273
Win average: 0.47191011235955055
Win average: 0.4666666666666667
Win average: 0.46153846153846156
Win average: 0.4673913043478261
Win average: 0.46236559139784944
Win average: 0.4574468085106383
Win average: 0.4631578947368421
Win average: 0.46875
Win average: 0.4639175257731959
Win average: 0.45918367346938777
Win average: 0.46464646464646464
Win average: 0.46
Win average: 0.45544554455445546
Win average: 0.46078431372549017
Win average: 0.46601941747572817
Win average: 0.46153846153846156
Win average: 0.4666666666666667
Win average: 0.46226415094339623
Win average: 0.4672897196261682
Win average: 0.46296296296296297
Win average: 0.45871559633027525
Win average: 0.45454545454545453
Win average: 0.45045045045045046
Win average: 0.44642857142857145
Win average: 0.45132743362831856
Win average: 0.4473684210526316
Win average: 0.45217391304347826
Win average: 0.45689655172413796
Win average: 0.452991452991453
Win average: 0.4576271186440678
Win average: 0.46218487394957986
Win average: 0.4666666666666667
Win average: 0.4628099173553719
Win average: 0.4672131147540984
Win average: 0.4715447154471545
Win average: 0.47580645161290325
Win average: 0.472
Win average: 0.47619047619047616
Win average: 0.48031496062992124
Win average: 0.4765625
Win average: 0.4806201550387597
Win average: 0.47692307692307695
Win average: 0.4732824427480916
Win average: 0.4696969696969697
Win average: 0.47368421052631576
Win average: 0.4701492537313433
Win average: 0.4740740740740741
Win average: 0.47794117647058826
Win average: 0.48175182481751827
Win average: 0.4855072463768116
Win average: 0.48201438848920863
Win average: 0.4785714285714286
Win average: 0.48226950354609927
Win average: 0.4788732394366197
Win average: 0.4825174825174825
Win average: 0.4791666666666667
Win average: 0.4827586206896552
Win average: 0.4863013698630137
Win average: 0.48299319727891155
Win average: 0.4864864864864865
Win average: 0.4899328859060403
Win average: 0.4866666666666667
Win average: 0.4900662251655629
Win average: 0.4934210526315789
Win average: 0.49019607843137253
Win average: 0.4935064935064935
Win average: 0.4967741935483871
Win average: 0.5
Win average: 0.4968152866242038
Win average: 0.5
Win average: 0.5031446540880503
Win average: 0.5
Win average: 0.4968944099378882
Win average: 0.5
Win average: 0.49693251533742333
Win average: 0.5
Win average: 0.49696969696969695
Win average: 0.4939759036144578
Win average: 0.49700598802395207
Win average: 0.49404761904761907
Win average: 0.4970414201183432
Win average: 0.5
Win average: 0.5029239766081871
Win average: 0.5058139534883721
Win average: 0.5028901734104047
Win average: 0.5
Win average: 0.49714285714285716
Win average: 0.4943181818181818
Win average: 0.4915254237288136
Win average: 0.4943820224719101
Win average: 0.4972067039106145
Win average: 0.5
Win average: 0.4972375690607735
Win average: 0.4945054945054945
Win average: 0.4972677595628415
Win average: 0.4945652173913043
Win average: 0.4972972972972973
Win average: 0.5
Win average: 0.5026737967914439
Win average: 0.5
Win average: 0.4973544973544973
Win average: 0.5
Win average: 0.4973821989528796
Win average: 0.4947916666666667
Win average: 0.49222797927461137
Win average: 0.4896907216494845
Win average: 0.48717948717948717
Win average: 0.4897959183673469
Win average: 0.49238578680203043
Win average: 0.4898989898989899
Win average: 0.49246231155778897
Win average: 0.49
Win average: 0.4925373134328358
Win average: 0.49504950495049505
Win average: 0.49261083743842365
Win average: 0.4950980392156863
